Feature,Importance
mfcc13_std,0.08147414404065996
mfcc11_std,0.052430310956159215
mfcc4_std,0.048332672387739084
mfcc1_std,0.04026703814995562
range_intensity,0.03750954128676689
mfcc7_std,0.037355310476792254
mfcc1_mean,0.03607219870638697
mfcc9_std,0.0346966264691072
std_intensity,0.033344743923592754
mfcc5_std,0.030244439100567996
mfcc8_std,0.028472247515508146
mfcc12_std,0.02837412082566033
mean_intensity,0.024848205777717583
f4_mean,0.022753363882164507
mfcc6_std,0.022437204821481337
mfcc12_mean,0.02081265858680257
apq11_shimmer,0.01918237801070011
mfcc7_mean,0.018558605855312608
local_abs_jitter,0.018484707850981462
mfcc10_mean,0.017155495158284455
f3_mean,0.01597040640279146
aqpq5_shimmer,0.015959818001281337
ddp_jitter,0.015804066790924734
mfcc10_std,0.015420353532931322
mfcc3_mean,0.015290001948524796
f2_std,0.015215473133477193
f4_std,0.014294771045110032
mean_hnr,0.014001787207858642
mfcc8_mean,0.012542381739306115
mean_pitch,0.01251983412592595
f1_std,0.012493419892578728
f3_std,0.012361731671373328
mfcc3_std,0.01221771440360636
std_pitch,0.011651117490589433
mfcc2_std,0.011340431354809317
local_shimmer,0.011191047853050258
mfcc13_mean,0.010966168038167674
f1_mean,0.010258365723971112
apq3_shimmer,0.009931492009391871
mfcc6_mean,0.009708813417673892
range_pitch,0.009647484144528198
mfcc11_mean,0.009591097018908649
local_jitter,0.008849127860629063
mfcc2_mean,0.008707887940615116
mfcc9_mean,0.008648419846767053
ppq5_jitter,0.008566165004565246
local_db_shimmer,0.008429335992818345
dda_shimmer,0.007528302551394706
rap_jitter,0.007072190429417492
mfcc4_mean,0.0047230938819168185
f2_mean,0.0034613809209067437
mfcc5_mean,0.002830304841847996
